throughputDuration,domain,alertsEnabled,entAgents,httpInterval,sipTimeLimit,dnsServers__serverName,cloudAgents,httpTimeLimit,type,timeLimit,bgpMeasurements,testId,createdBy,createdDate,pageLoadTimeLimit,ftpTimeLimit,liveShare,interval,enabled,testName,server
10000,NULL,0,2,NULL,NULL,NULL,1,NULL,agent-to-agent,NULL,1,1136513,ThousandEyes (support@thousandeyes.com),2019-10-26 19:05:29,NULL,NULL,0,120,1,a2a ubun2 (private),NULL
10000,NULL,0,2,NULL,NULL,NULL,1,NULL,agent-to-agent,NULL,1,1136514,ThousandEyes (support@thousandeyes.com),2019-10-26 19:06:16,NULL,NULL,0,120,1,A2A ubun2-docker (public),NULL
10000,NULL,0,5,NULL,NULL,NULL,3,NULL,agent-to-agent,NULL,1,1128435,ThousandEyes (support@thousandeyes.com),2019-10-17 18:15:48,NULL,NULL,0,300,1,thousandeyes-va,NULL
10000,NULL,0,1,NULL,NULL,NULL,0,NULL,agent-to-agent,NULL,1,1187632,ThousandEyes (support@thousandeyes.com),2019-12-12 19:37:59,NULL,NULL,0,120,1,thru,NULL
NULL,NULL,0,0,NULL,NULL,NULL,8,NULL,agent-to-server,NULL,1,1200916,ThousandEyes (support@thousandeyes.com),2020-01-06 16:58:55,NULL,NULL,0,120,1,CHICAGO AGENTS,google.com:443
NULL,NULL,0,6,NULL,NULL,NULL,0,NULL,agent-to-server,NULL,1,1133152,ThousandEyes (support@thousandeyes.com),2019-10-22 22:12:44,NULL,NULL,0,600,1,dell.com:443,dell.com:443
NULL,NULL,1,1,NULL,NULL,NULL,0,NULL,agent-to-server,NULL,1,1157073,ThousandEyes (support@thousandeyes.com),2019-11-11 22:44:50,NULL,NULL,0,60,1,ebay.com:443,ebay.com:443
NULL,NULL,1,1,NULL,NULL,NULL,2,NULL,agent-to-server,NULL,1,1131966,ThousandEyes (support@thousandeyes.com),2019-10-21 23:57:42,NULL,NULL,0,900,1,myspace.com:443,myspace.com:443
NULL,NULL,0,0,NULL,NULL,NULL,8,NULL,agent-to-server,NULL,1,1200102,ThousandEyes (support@thousandeyes.com),2020-01-03 17:31:02,NULL,NULL,0,120,1,udns1.ultradns.net,udns1.ultradns.net:53
NULL,NULL,1,0,NULL,NULL,NULL,0,NULL,bgp,NULL,NULL,1201145,ThousandEyes (support@thousandeyes.com),2020-01-06 22:54:00,NULL,NULL,0,NULL,1,fake test wahatever,NULL
NULL,NULL,1,0,NULL,NULL,NULL,0,NULL,bgp,NULL,NULL,1201146,ThousandEyes (support@thousandeyes.com),2020-01-06 22:54:34,NULL,NULL,0,NULL,1,fake test wahatever Copy,NULL
NULL,google.com A,1,0,NULL,NULL,NULL,12,NULL,dns-server,NULL,1,1195055,ThousandEyes (support@thousandeyes.com),2019-12-20 22:04:51,NULL,NULL,0,120,1,google.com,NULL
NULL,google.com A,0,0,NULL,NULL,NULL,12,NULL,dns-server,NULL,0,1195059,Benton Seybold (benton@thousandeyes.com),2019-12-20 22:06:34,NULL,NULL,0,60,1,"google.com (Dec 20, 2019 22:04 UTC)",NULL
NULL,facebook.com MX,0,3,NULL,NULL,NULL,4,NULL,dns-trace,NULL,NULL,1135551,ThousandEyes (support@thousandeyes.com),2019-10-25 01:56:42,NULL,NULL,0,300,1,facebook.com,NULL
NULL,www.asos.com A,1,0,NULL,NULL,NULL,8,NULL,dns-trace,NULL,NULL,1205974,ThousandEyes (support@thousandeyes.com),2020-01-13 15:01:43,NULL,NULL,0,120,1,www.asos.com,NULL
NULL,google.com A,1,0,NULL,NULL,NULL,0,NULL,dnsp-domain,NULL,NULL,1202909,ThousandEyes (support@thousandeyes.com),2020-01-08 20:41:54,NULL,NULL,NULL,1800,1,google.com A,NULL
NULL,NULL,1,0,NULL,NULL,NULL,5,5,http-server,NULL,1,1140026,ThousandEyes (support@thousandeyes.com),2019-10-30 20:29:00,NULL,NULL,0,60,1,Sample Test,NULL
NULL,NULL,0,0,300,NULL,NULL,1,5,page-load,NULL,0,1140014,Benton Seybold (benton@thousandeyes.com),2019-10-30 20:20:52,10,NULL,0,300,1,API agent-to-server test addition for www.thousandeyes.com,NULL
NULL,NULL,1,2,120,NULL,NULL,0,5,page-load,NULL,1,1138710,ThousandEyes (support@thousandeyes.com),2019-10-29 18:44:29,10,NULL,0,120,0,https://coldjet.com,NULL
NULL,NULL,0,0,300,NULL,NULL,1,5,page-load,NULL,1,1169703,Benton Seybold (benton@thousandeyes.com),2019-11-22 19:11:32,30,NULL,0,300,1,https://s1.demo.opensourcecms.com/s/44,NULL
NULL,NULL,0,0,120,NULL,NULL,3,5,page-load,NULL,1,1136782,ThousandEyes (support@thousandeyes.com),2019-10-27 23:55:08,10,NULL,0,120,0,https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js,NULL
NULL,NULL,0,0,900,NULL,NULL,24,5,page-load,NULL,1,1135857,ThousandEyes (support@thousandeyes.com),2019-10-25 14:33:30,10,NULL,0,900,0,https://success.thousandeyes.com,NULL
NULL,NULL,0,0,120,NULL,NULL,3,5,page-load,NULL,0,1135048,ThousandEyes (support@thousandeyes.com),2019-10-24 16:09:54,10,NULL,0,120,1,https://support.oracle.com/portal/#,NULL
NULL,NULL,1,0,300,NULL,NULL,2,5,page-load,NULL,0,1141360,ThousandEyes (support@thousandeyes.com),2019-10-31 20:00:58,10,NULL,0,900,1,Load_test_nat,NULL
NULL,NULL,0,0,120,NULL,NULL,1,5,page-load,NULL,1,1199698,ThousandEyes (support@thousandeyes.com),2020-01-02 22:07:09,10,NULL,0,300,1,Singapore 4,NULL
NULL,NULL,0,0,120,NULL,NULL,1,5,page-load,NULL,1,1199699,ThousandEyes (support@thousandeyes.com),2020-01-02 22:09:21,10,NULL,0,300,1,Singapore 5,NULL
NULL,NULL,0,0,120,NULL,NULL,1,5,page-load,NULL,1,1199700,ThousandEyes (support@thousandeyes.com),2020-01-02 22:09:43,10,NULL,0,300,1,Singapore 6,NULL
